week_number,sales_depot_id,sales_channel_id,route_id,client_id,product_id,town,state,client_type,client_name,short_name,brand,weight,pieces,sales_unit_this_week,sales_this_week,returns_unit_next_week,returns_next_week,Real - Procura,Pred - Procura,Pred - Probabilidade de Procura,Pred - Procura - Descrição
3,1215,1,1415,200545,32819,2049 AG. IZTAPALAPA 1,"MÉXICO, D.F.",Small Franchise,LA PREFERIDA,Chocodonitas ,BIM,102.0,6.0,4,35.56,0,0.0,1.0,0,0.46506453,Procura Baixa
3,1219,1,4441,496331,32873,2042 AG. TEPOZOTLAN,ESTADO DE MÉXICO,Individual,MICKY,Canapinas ,LAR,140.0,unknown,2,12.5,0,0.0,0.0,1,0.7258509,Procura Alta
4,1312,1,1132,68898,48417,2278 ZAPOPAN BIMBO,JALISCO,General Market/Mart,ABARROTES VITELA,Bran Frut Fresa ,BIM,48.0,unknown,8,36.64,0,0.0,1.0,1,0.9274551,Procura Alta
5,2060,1,2858,1639565,36304,2301 CUBILETE,GUANAJUATO,Individual,ROSALIA MANZANO QUIJAS,Suavicremas Chocolate ,MLA,100.0,unknown,4,24.6,0,0.0,1.0,0,0.47374263,Procura Baixa
5,2055,1,2060,672203,303,2055 Pinotepa,PUEBLA,Eatery,FRUTERIA ALCANTARA,Dalmata ,MLA,55.0,1.0,5,22.7,0,0.0,1.0,1,0.86620045,Procura Alta
6,1137,1,1052,213359,693,2014 AG. NEZA,ESTADO DE MÉXICO,Individual,IVAN,Tostada Plana ,MR,175.0,15.0,3,28.8,0,0.0,0.0,0,0.33152062,Procura Baixa
5,1153,1,1203,680036,1109,2087 AG. TIZAYUCA,HIDALGO,Individual,DANY,Pan Blanco Chico ,BIM,360.0,unknown,1,15.01,1,15.01,0.0,1,0.7941749,Procura Alta
5,1222,1,1207,61427,41938,2088 AG. CEYLAN,"MÉXICO, D.F.",Individual,CASA CARBAJAL,Mantecadas Nuez ,BIM,123.0,unknown,5,49.55,0,0.0,1.0,1,0.67495394,Procura Alta
4,1453,1,1001,91382,46876,2481 WONDER GUERRERO,NUEVO LEÓN,Individual,TOMMY,Pan Molido ,BIM,210.0,unknown,12,107.04,0,0.0,1.0,1,0.5450235,Procura Alta
5,2229,1,1212,314888,41938,2386 COATZACOALCOS MLA.,VERACRUZ,Individual,CHONTAL,Mantecadas Nuez ,BIM,123.0,unknown,7,69.37,0,0.0,1.0,0,0.48028138,Procura Baixa
4,2213,1,1229,1643902,1232,2396 RUIZ CORTINEZ,TABASCO,Individual,OXXITO,Panque Nuez ,BIM,255.0,unknown,10,182.4,0,0.0,1.0,1,0.5320051,Procura Alta
4,1137,1,2124,474975,32940,2014 AG. NEZA,ESTADO DE MÉXICO,Individual,SARA,Principe Choc Bco ,MLA,110.0,10.0,3,23.34,0,0.0,0.0,1,0.61273783,Procura Alta
3,1964,1,1203,198831,1064,2310 NUEVO IDEAL,DURANGO,Supermarket,SUPER LOPEZ,Panque Marmol ,BIM,255.0,unknown,3,50.01,0,0.0,0.0,0,0.12135866,Procura Baixa
3,1137,1,1607,2205221,4280,2014 AG. NEZA,ESTADO DE MÉXICO,Individual,KARELY,Doraditas ,TR,110.0,unknown,2,12.0,0,0.0,0.0,1,0.75793976,Procura Alta
4,1111,1,1125,2487878,1242,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F.",Individual,SIEMPRE VIVA,Donitas Espolvoreadas ,BIM,105.0,6.0,9,68.76,0,0.0,1.0,1,0.82017636,Procura Alta
3,1349,1,2121,4188159,31471,2257 CD. VALLES,SAN LUIS POTOSÍ,Oxxo Store,OXXO AUTO PARK,Triki Trakes Tubo ,MLA,174.0,20.0,8,87.68,0,0.0,1.0,1,0.86197555,Procura Alta
4,22187,1,2152,21198,32937,2187 SALAMANCA,GUANAJUATO,Individual,FRANCISCO JAVIER SARABIA VILLAFAA,Plativolos ,MLA,92.0,10.0,2,14.08,0,0.0,0.0,0,0.490134,Procura Baixa
3,2220,1,2823,4306210,8931,2395 PLAYA DEL CARMEN,QUINTANA ROO,NO IDENTIFICADO,NO IDENTIFICADO,Medias Noches Conveniencia ,BIM,290.0,unknown,16,197.12,0,0.0,1.0,0,0.16895962,Procura Baixa
3,1378,1,1260,4412246,35651,2328 SANTIAGO IXCUINTLA,NAYARIT,NO IDENTIFICADO,NO IDENTIFICADO,Madalenas ,BIM,93.0,3.0,10,75.0,0,0.0,1.0,1,0.7836402,Procura Alta
4,1914,1,1106,4162908,1232,2293 GRANJAS MARINELA,JALISCO,NO IDENTIFICADO,NO IDENTIFICADO,Panque Nuez ,BIM,255.0,unknown,2,36.48,0,0.0,0.0,1,0.57761914,Procura Alta
4,2211,1,1101,465990,693,2390 INDUSTRIAL,TABASCO,Eatery,TORTILLERIA GUAYABAL,Tostada Plana ,MR,175.0,15.0,3,28.8,0,0.0,0.0,1,0.8472434,Procura Alta
3,1552,1,2001,1647364,43215,2574 TIJUANA PACIFICO,BAJA CALIFORNIA NORTE,Small Franchise,LA PLAZITA,Pastisetas ,SUA,75.0,unknown,2,21.66,0,0.0,0.0,1,0.5840707,Procura Alta
5,1631,1,1131,285770,3270,2372 AG.TULANCINGO,HIDALGO,Supermarket,SUPER DEL BOSQUE,Conchas Vainilla ,BIM,120.0,2.0,2,20.94,0,0.0,0.0,0,0.4886998,Procura Baixa
3,2060,1,1211,1639565,1309,2301 CUBILETE,GUANAJUATO,Individual,ROSALIA MANZANO QUIJAS,Bimbunuelos ,BIM,66.0,4.0,2,13.52,0,0.0,0.0,1,0.51356596,Procura Alta
4,1119,1,1084,52882,1129,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,Small Franchise,EL RESPLANDOR,Tortillinas ,TR,510.0,20.0,13,228.8,0,0.0,1.0,1,0.7995492,Procura Alta
5,1118,1,1026,72068,3144,2007 AG. LA VILLA,"MÉXICO, D.F.",Individual,NALLELY,Pan Multigrano ,BIM,540.0,unknown,1,21.32,0,0.0,0.0,0,0.47674274,Procura Baixa
5,1346,1,5003,2169345,44088,2276 WONDER LA RAZA,SAN LUIS POTOSÍ,Individual,INDUSTRIAS JOMORO,Semita Rediseno ,TR,120.0,2.0,3,31.44,0,0.0,0.0,0,0.18879884,Procura Baixa
4,2054,1,1130,821374,1216,2174 SAN MIGUEL DE ALLENDE,GUANAJUATO,Individual,DON CHABELO,Roles Glass ,BIM,135.0,2.0,2,16.76,0,0.0,0.0,0,0.39680406,Procura Baixa
5,2211,1,1102,30044,1240,2390 INDUSTRIAL,TABASCO,Small Franchise,12 DE DICIEMBRE,Mantecadas Vainilla ,BIM,125.0,4.0,12,100.56,0,0.0,1.0,1,0.9172921,Procura Alta
6,1111,1,1625,50335,31298,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F.",Individual,DINORA,Duo Bigotes ,TR,210.0,unknown,2,17.78,0,0.0,0.0,1,0.7157791,Procura Alta
6,1344,1,2007,2217187,43069,2315 SAN LUIS POTOSI MARINELA,SAN LUIS POTOSÍ,General Market/Mart,MISCELANEA CONCHITA,Pinguinos ,MLA,80.0,2.0,11,81.51,0,0.0,1.0,1,0.88198066,Procura Alta
5,2012,1,2153,1433525,33871,2176 TOLUCA SAN ANTONIO,ESTADO DE MÉXICO,General Market/Mart,MISCELANEA DON GEORGE,Principe Crunch ,MLA,60.0,8.0,3,23.34,0,0.0,0.0,1,0.63667655,Procura Alta
5,1374,4,6604,2128219,3270,2251 AGUASCALIENTES NORTE,AGUASCALIENTES,Oxxo Store,OXXO OFICINAS,Conchas Vainilla ,BIM,120.0,2.0,1,11.91,0,0.0,0.0,1,0.7332686,Procura Alta
6,1340,1,1167,1589584,1212,2275 TEPIC BIMBO,NAYARIT,Individual,VICTORIA ZUÑIGA ROJAS,Roles Canela ,BIM,120.0,2.0,1,8.38,0,0.0,0.0,0,0.37845892,Procura Baixa
3,1617,1,4405,2005856,40680,2370 TEZIUTLAN,PUEBLA,Hospital/Pharmacy,FARMACIA MEDINA,Leche Gansito Chocolate ,MLA,236.0,unknown,4,27.44,0,0.0,1.0,0,0.46684158,Procura Baixa
6,1333,1,2124,64558,30552,2258 COLIMA BIMBO,COLIMA,General Market/Mart,ABARROTES MARI,Suavicremas Fresa ,MLA,84.0,unknown,3,16.14,0,0.0,0.0,0,0.21141633,Procura Baixa
5,4010,1,5503,112981,35131,2487 AEROPUERTO,NUEVO LEÓN,Individual,AURELIA GARZA LOPEZ,Deliciosas Chochitos ,LAR,180.0,unknown,2,18.7,0,0.0,0.0,0,0.29537025,Procura Baixa
4,2032,1,2056,11063,43285,2155 CELAYA NORPONIENTE,GUANAJUATO,Individual,ISMAEL,Gansito ,MLA,50.0,1.0,11,58.08,0,0.0,1.0,1,0.9906611,Procura Alta
4,1476,4,4905,2502536,48577,2516 ESCOBEDO,NUEVO LEÓN,NO IDENTIFICADO,NO IDENTIFICADO,Bran Frut Pina ,BIM,48.0,unknown,10,42.6,0,0.0,1.0,1,0.8244346,Procura Alta
3,1235,1,4403,263549,43285,2057 PUEBLA SUR MARINELA,PUEBLA,Individual,PILY,Gansito ,MLA,50.0,1.0,14,73.92,0,0.0,1.0,1,0.9802925,Procura Alta
3,1120,1,1067,4125386,1146,2018 AG. TEPALCATES 2,"MÉXICO, D.F.",Individual,JESUS JIMENEZ HUERTA,Pan Integral ,BIM,675.0,unknown,6,128.34,0,0.0,1.0,1,0.53515977,Procura Alta
4,1333,1,2022,557352,43064,2258 COLIMA BIMBO,COLIMA,Small Franchise,LOS LAURELES,Submarinos Fresa ,MLA,105.0,3.0,1,8.15,0,0.0,0.0,0,0.40164208,Procura Baixa
4,2021,1,1162,178301,40217,2162 JOJUTLA_BM,MORELOS,Small Franchise,AB LA DESPENSA,Mantecada Vainilla ,TR,157.0,3.0,6,53.88,0,0.0,1.0,1,0.6957556,Procura Alta
5,1111,1,1620,66176,9217,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F.",Individual,REYES,Cuernitos Famili Pack ,TR,150.0,3.0,12,108.0,0,0.0,1.0,1,0.7410754,Procura Alta
5,1213,1,1016,2403997,3631,2041 AG. TULTITLAN,ESTADO DE MÉXICO,Small Franchise,TIENDA SOL Y LUNA,Pan Integral ,BIM,370.0,unknown,5,81.75,0,0.0,1.0,0,0.3947892,Procura Baixa
6,1221,1,4415,512781,46716,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,Individual,OASIS,Bombonete ,MLA,55.0,unknown,3,16.14,0,0.0,0.0,0,0.23478624,Procura Baixa
6,1387,1,1105,1576897,1230,2272 SAN LUIS REY,SAN LUIS POTOSÍ,Individual,MARGARITA,Panque Pasas ,BIM,255.0,unknown,3,50.01,1,16.67,0.0,0,0.16271298,Procura Baixa
5,1218,1,2801,4379736,36747,2040 AG. CENTRO,"MÉXICO, D.F.",NO IDENTIFICADO,NO IDENTIFICADO,Triki Trakes Tubo ,MLA,200.0,unknown,9,103.77,0,0.0,1.0,0,0.2007706,Procura Baixa
3,1629,1,2022,712713,37058,2365 PUEBLA SUR BIMBO,PUEBLA,Individual,IRMA,Choco Roles ,MLA,80.0,2.0,10,75.0,0,0.0,1.0,1,0.83064944,Procura Alta
4,1227,1,1236,4232924,35651,2066 TOLUCA PONIENTE,ESTADO DE MÉXICO,NO IDENTIFICADO,NO IDENTIFICADO,Madalenas ,BIM,93.0,3.0,9,67.5,0,0.0,1.0,1,0.8959276,Procura Alta
3,1350,1,2025,379730,43307,2271 RIO VERDE BIMBO,MICHOACÁN,Small Franchise,EL TRIUNFO,Gansito ,MLA,50.0,1.0,21,110.88,0,0.0,1.0,1,0.9752401,Procura Alta
5,2034,1,1037,4558815,42110,2167 MORELIA LA HUERTA,MICHOACÁN,NO IDENTIFICADO,NO IDENTIFICADO,Tortillinas ,TR,255.0,10.0,8,76.8,0,0.0,1.0,1,0.7344556,Procura Alta
6,1119,1,1453,77114,31423,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,Small Franchise,LA CORONITA,Donas Azucar Tubo ,BIM,158.0,10.0,3,32.07,0,0.0,0.0,1,0.5337541,Procura Alta
3,1629,1,2013,2134657,43147,2365 PUEBLA SUR BIMBO,PUEBLA,Individual,MARGARITAS,Dalmata ,MLA,55.0,1.0,10,45.4,0,0.0,1.0,1,0.55087686,Procura Alta
4,1912,1,2110,95938,30572,2294 GUADALAJARA,JALISCO,Individual,ALEJANDRO CONTRERAS TAMAYO,Barritas Fresa ,MLA,67.0,unknown,15,93.75,0,0.0,1.0,1,0.96322477,Procura Alta
6,1127,1,1018,691350,1150,2003 AG. COACALCO,ESTADO DE MÉXICO,Supermarket,SUPER ALEXIS,Medias Noches ,BIM,340.0,8.0,10,139.6,0,0.0,1.0,1,0.8012628,Procura Alta
3,1544,1,1115,523597,1687,2561 LOS MOCHIS,SINALOA,Individual,PATRICIA FELIX CARDENAS,Roles Glass ,BIM,410.0,6.0,2,37.96,0,0.0,0.0,0,0.26830825,Procura Baixa
3,1542,1,1250,162440,1309,2567 PUERTO PEÑASCO,SONORA,Small Franchise,LA POPULAR,Bimbunuelos ,BIM,66.0,4.0,3,20.28,0,0.0,0.0,1,0.5844575,Procura Alta
5,1118,1,1006,418763,32802,2007 AG. LA VILLA,"MÉXICO, D.F.",Individual,MANUEL,Tortillas de Maiz ,MR,800.0,unknown,2,23.82,0,0.0,0.0,1,0.63329095,Procura Alta
3,1617,1,1003,153409,1160,2370 TEZIUTLAN,PUEBLA,Hospital/Pharmacy,SUPER FARMACIA MEDINA,Bimbollos ,BIM,450.0,8.0,3,56.58,0,0.0,0.0,1,0.7750908,Procura Alta
6,1127,1,1012,2220416,1146,2003 AG. COACALCO,ESTADO DE MÉXICO,Individual,ANGELES,Pan Integral ,BIM,675.0,unknown,6,128.34,0,0.0,1.0,1,0.673202,Procura Alta
5,1911,1,2067,4381695,37058,2309 NORTE,JALISCO,NO IDENTIFICADO,NO IDENTIFICADO,Choco Roles ,MLA,80.0,2.0,2,15.0,0,0.0,0.0,1,0.8888022,Procura Alta
4,1914,1,1003,63169,3631,2293 GRANJAS MARINELA,JALISCO,Small Franchise,MIGUEL ALFARO VALLE,Pan Integral ,BIM,370.0,unknown,12,196.2,0,0.0,1.0,1,0.65593547,Procura Alta
5,1120,1,1074,174400,1129,2018 AG. TEPALCATES 2,"MÉXICO, D.F.",Individual,CHURUBUSCO,Tortillinas ,TR,510.0,20.0,7,123.2,0,0.0,1.0,1,0.8319042,Procura Alta
5,1611,1,1104,193845,1232,2376 CONVENIENCIA VERACRUZ SUR,VERACRUZ,General Market/Mart,ABARROTES LA ESQUINITA,Panque Nuez ,BIM,255.0,unknown,2,36.48,0,0.0,0.0,1,0.50288194,Procura Alta
6,1119,1,1401,317005,1272,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,Individual,CASA GONZALEZ,Conchas Chocolate ,BIM,120.0,2.0,2,20.94,0,0.0,0.0,0,0.107884586,Procura Baixa
6,1219,1,1101,331635,1250,2042 AG. TEPOZOTLAN,ESTADO DE MÉXICO,Individual,PINO,Donas Azucar ,BIM,105.0,4.0,10,76.4,0,0.0,1.0,1,0.85665107,Procura Alta
4,4037,1,5525,7759074,43040,2499 REYNOSA MARINELA,TAMAULIPAS,Supermarket,MINI SUPER ONTI,Doraditas ,TR,110.0,unknown,4,24.0,0,0.0,1.0,1,0.8801367,Procura Alta
4,1420,1,2137,175551,30532,2478 SAN NICOLAS,NUEVO LEÓN,Individual,OLGA RODRIGUEZ MORENO,Principe ,MLA,106.0,10.0,12,93.36,0,0.0,1.0,1,0.89054555,Procura Alta
6,1310,1,1053,101018,4910,2260 GONZALEZ GALLO,JALISCO,Small Franchise,RAQUEL SALDAÑA ROJAS,Empanizador Crujiente ,BIM,175.0,unknown,5,44.6,0,0.0,1.0,1,0.7031771,Procura Alta
5,1451,1,1259,219848,43038,2480 VICTORIA BIMBO,TAMAULIPAS,Individual,CARRERA,Conchas ,TR,120.0,2.0,1,10.48,0,0.0,0.0,1,0.54177135,Procura Alta
3,2220,1,2123,4519153,3894,2395 PLAYA DEL CARMEN,QUINTANA ROO,NO IDENTIFICADO,NO IDENTIFICADO,Sponch ,MLA,120.0,8.0,11,110.0,0,0.0,1.0,1,0.74752027,Procura Alta
4,1473,4,4906,4475390,43246,2467 LINCOLN,NUEVO LEÓN,NO IDENTIFICADO,NO IDENTIFICADO,Pan Multigrano ,BIM,540.0,unknown,1,22.45,0,0.0,0.0,1,0.54662734,Procura Alta
5,2055,1,1057,729185,42110,2055 Pinotepa,PUEBLA,Small Franchise,SAN EUGENIO,Tortillinas ,TR,255.0,10.0,14,134.4,0,0.0,1.0,1,0.81521547,Procura Alta
6,1312,1,2071,68602,43274,2278 ZAPOPAN BIMBO,JALISCO,Individual,AGUSTIN REYES VAZQUEZ,Napolitano ,MLA,70.0,1.0,6,31.14,0,0.0,1.0,1,0.5701719,Procura Alta
5,1140,1,1402,1073038,1230,2078 AG. TEXCOCO,ESTADO DE MÉXICO,Individual,EMMANUEL,Panque Pasas ,BIM,255.0,unknown,2,33.34,0,0.0,0.0,0,0.10807259,Procura Baixa
5,2034,1,1620,252615,40217,2167 MORELIA LA HUERTA,MICHOACÁN,Individual,INDUSTRIAL,Mantecada Vainilla ,TR,157.0,3.0,1,8.98,0,0.0,0.0,1,0.7219166,Procura Alta
3,1415,1,4416,1028697,31471,2465 LAREDO,TAMAULIPAS,Supermarket,SUPER PAN,Triki Trakes Tubo ,MLA,174.0,20.0,2,19.98,0,0.0,0.0,0,0.46411887,Procura Baixa
5,1636,1,4410,290049,48893,2359 AG.MIXQUIAHUALA,HIDALGO,Individual,ABTS ANNY,Duo Gansito mas Gansito SP ,MLA,100.0,unknown,2,14.82,0,0.0,0.0,1,0.7217664,Procura Alta
3,1310,1,2020,103750,43040,2260 GONZALEZ GALLO,JALISCO,Individual,BERTHA ALICIA GARCIA HORTA,Doraditas ,TR,110.0,unknown,5,30.0,0,0.0,1.0,1,0.7973249,Procura Alta
4,1232,1,2012,27883,43065,2059 Queretaro Balvanera,Queretaro de Arteaga,General Market/Mart,ABARROTES HNOS  CARBAJAL,Rollo Fresa ,MLA,75.0,2.0,6,40.56,0,0.0,1.0,1,0.5633273,Procura Alta
5,1127,1,1015,1141834,4767,2003 AG. COACALCO,ESTADO DE MÉXICO,Individual,HERNANDEZ,Tostado Doble Fibra ,BIM,250.0,unknown,5,73.95,0,0.0,1.0,0,0.37401772,Procura Baixa
4,2077,4,6603,1463643,1150,2300 LEON MILENIUM,GUANAJUATO,Oxxo Store,OXXO PORTALES,Medias Noches ,BIM,340.0,8.0,1,14.7,0,0.0,0.0,1,0.8584049,Procura Alta
4,1613,1,4455,4446135,43084,2361 ORIZABA,VERACRUZ,NO IDENTIFICADO,NO IDENTIFICADO,Submarinos Chocolate ,MLA,105.0,3.0,2,16.3,0,0.0,0.0,0,0.083972715,Procura Baixa
4,1119,1,1458,58825,1309,2013 AG. MEGA NAUCALPAN,ESTADO DE MÉXICO,Individual,DON CARLOS,Bimbunuelos ,BIM,66.0,4.0,11,74.36,0,0.0,1.0,1,0.7446335,Procura Alta
4,1335,1,1159,4447151,1242,2264 MANZANILLO BIMBO,COLIMA,NO IDENTIFICADO,NO IDENTIFICADO,Donitas Espolvoreadas ,BIM,105.0,6.0,10,76.4,0,0.0,1.0,1,0.57156277,Procura Alta
6,1111,1,1622,1092053,40217,2002 AG. AZCAPOTZALCO,"MÉXICO, D.F.",Individual,AMIGOS,Mantecada Vainilla ,TR,157.0,3.0,8,71.84,0,0.0,1.0,0,0.49912766,Procura Baixa
5,4049,1,1036,573335,34255,2505 TORREON,COAHUILA,Small Franchise,SAN JOSE,Tostada Ondulada Tubo ,MR,360.0,30.0,12,192.0,0,0.0,1.0,0,0.42718676,Procura Baixa
